文件名,格式,时长(s),大小(KB),采样率(Hz),声道数,比特率,MSE,PSNR(dB),复杂度,场景,比特深度,格式名称,QSI
音乐_44100Hz_8bit.wav,2,10.0,430.70703125,44100,1,352835,3570779.8534258245,30.80183531739719,9,专业录音,44100,wav,0.07151458667392534
音乐_44100Hz_AAC_128kbps.aac,3,10.0,163.306640625,44100,1,133780,36884139.47275888,20.661069519468057,10,移动设备、网络传输、流媒体传输,44100,aac,0.12651702000846335
音乐_44100Hz_AAC_192kbps.aac,3,10.0,186.2138671875,44100,1,152546,36766191.69930737,20.674979602461164,10,移动设备、网络传输、流媒体传输,44100,aac,0.11102814153815617
音乐_44100Hz_AAC_256kbps.aac,3,10.0,186.3564453125,44100,1,152663,36569418.52846649,20.698285526309576,10,移动设备、网络传输、流媒体传输,44100,aac,0.11106825681076254
音乐_44100Hz_MP3_128kbps.mp3,1,10.03102,157.1845703125,44100,1,128367,32630964.243972603,21.193167001646543,9,网络传输、流媒体传输,44100,mp3,0.13482981796185353
音乐_44100Hz_MP3_192kbps.mp3,1,10.03102,235.755859375,44100,1,192533,34470985.48537924,20.954929079709917,10,网络传输、流媒体传输,44100,mp3,0.08888402237493664
音乐_44100Hz_MP3_320kbps.mp3,1,10.03102,392.8984375,44100,1,320867,36557888.4285824,20.699655044484203,10,网络传输、流媒体传输,44100,mp3,0.052684493163667016
音乐_44100Hz_MP3_64kbps.mp3,1,10.03102,78.61328125,44100,1,64200,30947355.780154448,21.42323059801059,9,移动设备、网络传输、流媒体传输,44100,mp3,0.2725141382902217
音乐_48000Hz_16bit.wav,2,10.0,937.54296875,48000,1,768035,35508207.637333214,20.82617856740052,10,高质量音频存储、专业录音,48000,wav,0.022213572349827855
音乐_48000Hz_24bit.wav,2,10.0,1406.29296875,48000,1,1152035,-4437242.3377682045,100.0,10,高质量音频存储、专业录音,48000,wav,0.07110893833799523
音乐_8000Hz_16bit.wav,2,10.0,156.29296875,8000,1,128035,63583337.757275,18.2960328540631,7,通用场景,8000,wav,0.11706241810102605
